jid,formula,formula_raw,adsorbate,adsorption_energy_eV,band_gap,formation_energy,bulk_modulus,shear_modulus,eps_avg,species_ratio,metal_nonmetal_ratio,mean_bond_length,reference
JVASP-10,VSe2,VSe2(001),Li2S6,0.91,0.0,-0.71318,48.105,32.76,41.88655000000001,0.25,0.5,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-10,VSe2,VSe2(001),Li2S4,1.18,0.0,-0.71318,48.105,32.76,41.88655000000001,0.33,0.5,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-195,CrSe,CrSe(210),S8,0.69,0.0,-0.30108,61.47,21.18,118.40415,0.0,1.0,2.44,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-195,CrSe,CrSe(210),Li2S8,0.92,0.0,-0.30108,61.47,21.18,118.40415,0.2,1.0,2.44,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-195,CrSe,CrSe(210),Li2S6,0.88,0.0,-0.30108,61.47,21.18,118.40415,0.25,1.0,2.44,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-195,CrSe,CrSe(210),Li2S4,0.94,0.0,-0.30108,61.47,21.18,118.40415,0.33,1.0,2.44,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-87130,MnO,MnO(200),Li2S8,2.78,0.0,-1.31265,184.99,54.115,186.4477833333333,0.2,1.0,2.25,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-87130,MnO,MnO(200),Li2S6,2.5,0.0,-1.31265,184.99,54.115,186.4477833333333,0.25,1.0,2.25,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-87130,MnO,MnO(200),Li2S4,2.68,0.0,-1.31265,184.99,54.115,186.4477833333333,0.33,1.0,2.25,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-87130,MnO,MnO(200),Li2S2,2.41,0.0,-1.31265,184.99,54.115,186.4477833333333,0.5,1.0,2.25,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-14938,MnS,MnS(200),Li2S8,2.44,0.0,-0.49365,57.85,29.955,129.10608333333332,0.2,1.0,2.56,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-14938,MnS,MnS(200),Li2S6,2.12,0.0,-0.49365,57.85,29.955,129.10608333333332,0.25,1.0,2.56,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-14938,MnS,MnS(200),Li2S4,2.26,0.0,-0.49365,57.85,29.955,129.10608333333332,0.33,1.0,2.56,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-14938,MnS,MnS(200),Li2S2,1.99,0.0,-0.49365,57.85,29.955,129.10608333333332,0.5,1.0,2.56,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-19923,MnSe,MnSe(200),Li2S8,2.46,0.0,-0.2989,68.90333333333334,15.955,147.88149444444446,0.2,1.0,2.71,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-19923,MnSe,MnSe(200),Li2S6,2.11,0.0,-0.2989,68.90333333333334,15.955,147.88149444444446,0.25,1.0,2.71,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-19923,MnSe,MnSe(200),Li2S4,2.24,0.0,-0.2989,68.90333333333334,15.955,147.88149444444446,0.33,1.0,2.71,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-19923,MnSe,MnSe(200),Li2S2,1.95,0.0,-0.2989,68.90333333333334,15.955,147.88149444444446,0.5,1.0,2.71,https://doi.org/10.1016/j.jpowsour.2022.232244
JVASP-97027,FeSe,FeSe(210),S8,0.94,0.0,-0.28331,82.74833333333333,40.79,125.91146666666668,0.0,1.0,2.3,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-97027,FeSe,FeSe(210),Li2S8,1.24,0.0,-0.28331,82.74833333333333,40.79,125.91146666666668,0.2,1.0,2.3,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-97027,FeSe,FeSe(210),Li2S6,0.9,0.0,-0.28331,82.74833333333333,40.79,125.91146666666668,0.25,1.0,2.3,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-97027,FeSe,FeSe(210),Li2S4,0.94,0.0,-0.28331,82.74833333333333,40.79,125.91146666666668,0.33,1.0,2.3,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-12148,CoSe,CoSe(210),S8,1.0,0.0,-0.25744,89.39999999999999,35.230000000000004,87.27631666666667,0.0,1.0,2.31,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-12148,CoSe,CoSe(210),Li2S8,1.18,0.0,-0.25744,89.39999999999999,35.230000000000004,87.27631666666667,0.2,1.0,2.31,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-12148,CoSe,CoSe(210),Li2S6,1.07,0.0,-0.25744,89.39999999999999,35.230000000000004,87.27631666666667,0.25,1.0,2.31,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-12148,CoSe,CoSe(210),Li2S4,1.08,0.0,-0.25744,89.39999999999999,35.230000000000004,87.27631666666667,0.33,1.0,2.31,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-87131,NiO,NiO,S8,1.4,0.0,-0.63566,194.38666666666668,52.57333333333333,58.74328888888889,0.0,1.0,2.11,10.1002/adfm.202101285
JVASP-87131,NiO,NiO,Li2S8,2.34,0.0,-0.63566,194.38666666666668,52.57333333333333,58.74328888888889,0.2,1.0,2.11,10.1002/adfm.202101285
JVASP-87131,NiO,NiO,Li2S6,1.92,0.0,-0.63566,194.38666666666668,52.57333333333333,58.74328888888889,0.25,1.0,2.11,10.1002/adfm.202101285
JVASP-87131,NiO,NiO,Li2S4,2.8,0.0,-0.63566,194.38666666666668,52.57333333333333,58.74328888888889,0.33,1.0,2.11,10.1002/adfm.202101285
JVASP-87131,NiO,NiO,Li2S2,2.76,0.0,-0.63566,194.38666666666668,52.57333333333333,58.74328888888889,0.5,1.0,2.11,10.1002/adfm.202101285
JVASP-15832,NiS2,NiS2,Li2S8,2.3,0.0,-0.33352,51.99666666666667,19.581666666666667,69.40387222222222,0.2,0.5,2.36,10.1039/d1ta03621a
JVASP-15832,NiS2,NiS2,Li2S6,1.81,0.0,-0.33352,51.99666666666667,19.581666666666667,69.40387222222222,0.25,0.5,2.36,10.1039/d1ta03621a
JVASP-15832,NiS2,NiS2,Li2S4,1.71,0.0,-0.33352,51.99666666666667,19.581666666666667,69.40387222222222,0.33,0.5,2.36,10.1039/d1ta03621a
JVASP-15832,NiS2,NiS2,Li2S2,2.23,0.0,-0.33352,51.99666666666667,19.581666666666667,69.40387222222222,0.5,0.5,2.36,10.1039/d1ta03621a
JVASP-585,NbSe2,NbSe2,S8,0.77,0.0,-0.86256,50.138,29.727,45.47125,0.0,0.5,2.63,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-585,NbSe2,NbSe2,Li2S8,1.0,0.0,-0.86256,50.138,29.727,45.47125,0.2,0.5,2.63,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-585,NbSe2,NbSe2,Li2S6,1.09,0.0,-0.86256,50.138,29.727,45.47125,0.25,0.5,2.63,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-585,NbSe2,NbSe2,Li2S4,1.48,0.0,-0.86256,50.138,29.727,45.47125,0.33,0.5,2.63,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-28377,MoSe2,MoSe2,S8,0.81,1.0405,-0.67149,45.09,29.855,12.972983333333334,0.0,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-28377,MoSe2,MoSe2,Li2S8,0.97,1.0405,-0.67149,45.09,29.855,12.972983333333334,0.2,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-28377,MoSe2,MoSe2,Li2S6,0.93,1.0405,-0.67149,45.09,29.855,12.972983333333334,0.25,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-28377,MoSe2,MoSe2,Li2S4,1.05,1.0405,-0.67149,45.09,29.855,12.972983333333334,0.33,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-91686,InSe,InSe,S8,0.56,0.361,-0.50623,29.705,16.299999999999997,12.820708333333332,0.0,1.0,2.68,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-91686,InSe,InSe,Li2S8,0.77,0.361,-0.50623,29.705,16.299999999999997,12.820708333333332,0.2,1.0,2.68,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-91686,InSe,InSe,Li2S6,0.8,0.361,-0.50623,29.705,16.299999999999997,12.820708333333332,0.25,1.0,2.68,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-91686,InSe,InSe,Li2S4,0.95,0.361,-0.50623,29.705,16.299999999999997,12.820708333333332,0.33,1.0,2.68,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-302,SnSe,SnSe,S8,0.77,0.42225,-0.48235,34.192499999999995,20.91,26.06458333333333,0.0,1.0,2.82,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-302,SnSe,SnSe,Li2S8,1.05,0.42225,-0.48235,34.192499999999995,20.91,26.06458333333333,0.2,1.0,2.82,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-302,SnSe,SnSe,Li2S6,1.16,0.42225,-0.48235,34.192499999999995,20.91,26.06458333333333,0.25,1.0,2.82,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-302,SnSe,SnSe,Li2S4,1.18,0.42225,-0.48235,34.192499999999995,20.91,26.06458333333333,0.33,1.0,2.82,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-122,SnSe2,SnSe2,S8,0.56,0.471,-0.33426,37.68,20.75,15.163133333333334,0.0,0.5,2.75,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-122,SnSe2,SnSe2,Li2S8,0.89,0.471,-0.33426,37.68,20.75,15.163133333333334,0.2,0.5,2.75,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-122,SnSe2,SnSe2,Li2S6,0.81,0.471,-0.33426,37.68,20.75,15.163133333333334,0.25,0.5,2.75,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-122,SnSe2,SnSe2,Li2S4,1.15,0.471,-0.33426,37.68,20.75,15.163133333333334,0.33,0.5,2.75,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-75,WSe2,WSe2,S8,0.81,1.154,-0.54463,41.436,30.078,10.642233333333332,0.0,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-75,WSe2,WSe2,Li2S8,1.01,1.154,-0.54463,41.436,30.078,10.642233333333332,0.2,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-75,WSe2,WSe2,Li2S6,0.97,1.154,-0.54463,41.436,30.078,10.642233333333332,0.25,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-75,WSe2,WSe2,Li2S4,1.06,1.154,-0.54463,41.436,30.078,10.642233333333332,0.33,0.5,2.55,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-103723,Cu2Se,Cu2Se,S8,0.89,0.1382499999999999,-0.05503,73.72749999999999,7.9,25.89265,0.0,2.0,2.43,https://doi.org/10.1021/acsnano.2c03788
JVASP-103723,Cu2Se,Cu2Se,Li2S8,1.15,0.1382499999999999,-0.05503,73.72749999999999,7.9,25.89265,0.2,2.0,2.43,https://doi.org/10.1021/acsnano.2c03788
JVASP-103723,Cu2Se,Cu2Se,Li2S6,1.87,0.1382499999999999,-0.05503,73.72749999999999,7.9,25.89265,0.25,2.0,2.43,https://doi.org/10.1021/acsnano.2c03788
JVASP-103723,Cu2Se,Cu2Se,Li2S4,1.62,0.1382499999999999,-0.05503,73.72749999999999,7.9,25.89265,0.33,2.0,2.43,https://doi.org/10.1021/acsnano.2c03788
JVASP-103723,Cu2Se,Cu2Se,Li2S2,1.23,0.1382499999999999,-0.05503,73.72749999999999,7.9,25.89265,0.5,2.0,2.43,https://doi.org/10.1021/acsnano.2c03788
JVASP-1195,ZnO,ZnO,S8,3.94,0.7903333333333333,-1.59197,143.80166666666668,44.626666666666665,5.610238888888889,0.0,1.0,2.01,https://doi.org/10.1016/j.cej.2021.129707
JVASP-1195,ZnO,ZnO,Li2S8,5.21,0.7903333333333333,-1.59197,143.80166666666668,44.626666666666665,5.610238888888889,0.2,1.0,2.01,https://doi.org/10.1016/j.cej.2021.129707
JVASP-1195,ZnO,ZnO,Li2S6,3.84,0.7903333333333333,-1.59197,143.80166666666668,44.626666666666665,5.610238888888889,0.25,1.0,2.01,https://doi.org/10.1016/j.cej.2021.129707
JVASP-1195,ZnO,ZnO,Li2S4,4.34,0.7903333333333333,-1.59197,143.80166666666668,44.626666666666665,5.610238888888889,0.33,1.0,2.01,https://doi.org/10.1016/j.cej.2021.129707
JVASP-1195,ZnO,ZnO,Li2S2,5.52,0.7903333333333333,-1.59197,143.80166666666668,44.626666666666665,5.610238888888889,0.5,1.0,2.01,https://doi.org/10.1016/j.cej.2021.129707
JVASP-96,ZnSe,ZnSe,S8,2.68,1.3393333333333333,-0.71802,49.91,24.87333333333333,7.8433,0.0,1.0,2.49,https://doi.org/10.1002/advs.202103456
JVASP-96,ZnSe,ZnSe,Li2S8,2.27,1.3393333333333333,-0.71802,49.91,24.87333333333333,7.8433,0.2,1.0,2.49,https://doi.org/10.1002/advs.202103456
JVASP-96,ZnSe,ZnSe,Li2S6,1.74,1.3393333333333333,-0.71802,49.91,24.87333333333333,7.8433,0.25,1.0,2.49,https://doi.org/10.1002/advs.202103456
JVASP-96,ZnSe,ZnSe,Li2S4,1.54,1.3393333333333333,-0.71802,49.91,24.87333333333333,7.8433,0.33,1.0,2.49,https://doi.org/10.1002/advs.202103456
JVASP-96,ZnSe,ZnSe,Li2S2,2.12,1.3393333333333333,-0.71802,49.91,24.87333333333333,7.8433,0.5,1.0,2.49,https://doi.org/10.1002/advs.202103456
JVASP-228,MoS2,MoS2,S8,0.81,0.6496666666666667,-0.9616,54.348333333333336,36.848333333333336,36.003277777777775,0.0,0.5,2.42,https://doi.org/10.1021/acsnano.1c06067
JVASP-228,MoS2,MoS2,Li2S8,1.25,0.6496666666666667,-0.9616,54.348333333333336,36.848333333333336,36.003277777777775,0.2,0.5,2.42,https://doi.org/10.1021/acsnano.1c06067
JVASP-228,MoS2,MoS2,Li2S6,1.09,0.6496666666666667,-0.9616,54.348333333333336,36.848333333333336,36.003277777777775,0.25,0.5,2.42,https://doi.org/10.1021/acsnano.1c06067
JVASP-228,MoS2,MoS2,Li2S4,1.07,0.6496666666666667,-0.9616,54.348333333333336,36.848333333333336,36.003277777777775,0.33,0.5,2.42,https://doi.org/10.1021/acsnano.1c06067
JVASP-228,MoS2,MoS2,Li2S2,1.25,0.6496666666666667,-0.9616,54.348333333333336,36.848333333333336,36.003277777777775,0.5,0.5,2.42,https://doi.org/10.1021/acsnano.1c06067
JVASP-12010,MoO3,MoO3,Li2S8,3.24,1.55075,-2.08618,64.02,33.28,6.836258333333333,0.2,0.33,1.98,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-12010,MoO3,MoO3,Li2S6,3.73,1.55075,-2.08618,64.02,33.28,6.836258333333333,0.25,0.33,1.98,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-12010,MoO3,MoO3,Li2S4,3.85,1.55075,-2.08618,64.02,33.28,6.836258333333333,0.33,0.33,1.98,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-12010,MoO3,MoO3,Li2S2,4.14,1.55075,-2.08618,64.02,33.28,6.836258333333333,0.5,0.33,1.98,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-20166,Mo2C,Mo2C,Li2S8,2.4,0.0,-0.14929,293.87,147.8,198.6537333333333,0.2,2.0,2.17,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-20166,Mo2C,Mo2C,Li2S6,2.67,0.0,-0.14929,293.87,147.8,198.6537333333333,0.25,2.0,2.17,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-20166,Mo2C,Mo2C,Li2S4,2.82,0.0,-0.14929,293.87,147.8,198.6537333333333,0.33,2.0,2.17,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-20166,Mo2C,Mo2C,Li2S2,3.24,0.0,-0.14929,293.87,147.8,198.6537333333333,0.5,2.0,2.17,https://doi.org/10.1016/j.ensm.2022.02.028
JVASP-15041,MoC,MoC,Li2S6,2.89,0.0,-0.1697,306.8433333333333,145.58333333333334,58.77214444444445,0.25,1.0,2.2,https://doi.org/10.1021/acsami.1c10612
JVASP-17987,Ni2P,Ni2P,Li2S6,1.79,0.0,-0.43165,184.18,38.15,148.4639,0.25,2.0,2.35,10.1016/j.nanoen.2021.106584
JVASP-17987,Ni2P,Ni2P,Li2S4,1.22,0.0,-0.43165,184.18,38.15,148.4639,0.33,2.0,2.35,10.1016/j.nanoen.2021.106584
JVASP-17987,Ni2P,Ni2P,Li2S2,2.08,0.0,-0.43165,184.18,38.15,148.4639,0.5,2.0,2.35,10.1016/j.nanoen.2021.106584
JVASP-1702,ZnS,ZnS,S8,0.11,2.1093333333333333,-0.88682,72.29833333333333,33.288333333333334,6.207922222222222,0.0,1.0,2.36,https://doi.org/10.1016/j.ensm.2022.09.018
JVASP-1702,ZnS,ZnS,Li2S8,0.83,2.1093333333333333,-0.88682,72.29833333333333,33.288333333333334,6.207922222222222,0.2,1.0,2.36,https://doi.org/10.1016/j.ensm.2022.09.018
JVASP-1702,ZnS,ZnS,Li2S6,0.63,2.1093333333333333,-0.88682,72.29833333333333,33.288333333333334,6.207922222222222,0.25,1.0,2.36,https://doi.org/10.1016/j.ensm.2022.09.018
JVASP-1702,ZnS,ZnS,Li2S4,1.39,2.1093333333333333,-0.88682,72.29833333333333,33.288333333333334,6.207922222222222,0.33,1.0,2.36,https://doi.org/10.1016/j.ensm.2022.09.018
JVASP-1702,ZnS,ZnS,Li2S2,1.73,2.1093333333333333,-0.88682,72.29833333333333,33.288333333333334,6.207922222222222,0.5,1.0,2.36,https://doi.org/10.1016/j.ensm.2022.09.018
JVASP-15833,CoS2,CoS2(200),Li2S8,1.09,0.0,-0.44998,82.39,33.587500000000006,68.82105,0.2,0.5,2.31,https://doi.org/10.1016/j.cej.2022.134498
JVASP-15833,CoS2,CoS2(200),Li2S6,1.02,0.0,-0.44998,82.39,33.587500000000006,68.82105,0.25,0.5,2.31,https://doi.org/10.1016/j.cej.2022.134498
JVASP-15833,CoS2,CoS2(200),Li2S4,1.44,0.0,-0.44998,82.39,33.587500000000006,68.82105,0.33,0.5,2.31,https://doi.org/10.1016/j.cej.2022.134498
