jid,formula,band_gap,formation_energy,bulk_modulus,shear_modulus,eps_avg,formula_clean,E_ads_Li2S2,E_ads_Li2S4,E_ads_Li2S6,E_ads_Li2S8,E_ads_S8,E_ads_avg
JVASP-11958,Al9Co2,0.0,-0.35191,101.07,72.0,134.48033333333333,,,,,,,
JVASP-36885,TlCoF3,0.0,-1.84964,74.6,31.8,17.906133333333333,,,,,,,
JVASP-1750,ErSbPd,0.214,-1.10797,94.77,43.78,20.0254,,,,,,,
JVASP-64724,Ba4GaCu,0.0,0.58324,12.9,0.0,174.0339,,,,,,,
JVASP-36782,MnAgO2,0.0,-1.22149,85.28,32.87,70.91773333333333,,,,,,,
JVASP-36857,MnAuO2,0.0,-1.15603,102.97,37.76,87.49363333333334,,,,,,,
JVASP-39364,Ni3Hg,0.0,0.28546,158.9,55.02,243.1779,,,,,,,
JVASP-28962,TeMoWSe2S,0.44,-0.49652,5.0,0.79,11.1291,,,,,,,
JVASP-64907,Be2TlIr,0.0,0.30087,149.96,0.0,49.233000000000004,,,,,,,
JVASP-36850,MnAgO2,0.0,-1.21096,125.43,32.72,68.41583333333334,,,,,,,
JVASP-91700,B2CN,0.0,-0.53074,330.32,321.77,9.559433333333333,,,,,,,
JVASP-36853,MnAuO2,0.0,-1.14822,143.11,37.53,86.5169,,,,,,,
JVASP-323,TiS2,0.0,-1.42034,47.87,34.62,24.87783333333333,,,,,,,
JVASP-37300,SrCaO3,0.0,-2.02424,66.77,29.86,67.2147,,,,,,,
JVASP-38181,KInO3,0.0,-1.04267,76.93,34.34,68.0965,,,,,,,
JVASP-1198,ZnTe,1.057,-0.45889,45.33,23.3,9.7014,,,,,,,
JVASP-37387,Th3U,0.0,0.25005,60.7,41.34,386.6839,,,,,,,
JVASP-38327,RbCaO3,0.0,-1.29606,43.73,18.08,85.4164,,,,,,,
JVASP-22557,CrCuO2,0.0,-1.39347,199.77,86.74,80.18653333333333,,,,,,,
JVASP-39275,FeAu3,0.0,0.16809,139.43,28.04,140.4627,,,,,,,
JVASP-14757,Li,0.0,-0.00017,13.8,6.84,1.6651999999999998,,,,,,,
JVASP-22671,NaCrO2,0.0,-1.8573,144.96,87.07,69.49646666666666,,,,,,,
JVASP-22514,CoF2,0.0,-1.57806,141.27,45.6,58.00013333333334,,,,,,,
JVASP-28353,CoTe2,0.0,-0.19234,56.71,27.11,62.931000000000004,,,,,,,
JVASP-3648,HgBr2,2.075,-0.33502,12.3,6.14,5.163766666666667,,,,,,,
JVASP-43427,K2O,2.106,-1.19689,27.02,12.55,3.3768,,,,,,,
JVASP-5485,CdI2,2.119,-0.58149,19.49,9.37,5.948899999999999,,,,,,,
JVASP-2017,LiCoO2,1.005,-1.67424,159.77,94.66,9.8242,,,,,,,
JVASP-3396,K3CrO4,0.0,-2.00963,36.94,6.23,4.5842,,,,,,,
JVASP-15528,LiGa2Pd,0.0,-0.50139,81.8,36.3,151.3756,,,,,,,
JVASP-49776,Na3CuO2,1.422,-1.28752,54.79,31.61,3.9461333333333335,,,,,,,
JVASP-53075,NaNdS2,1.993,-1.93964,55.19,34.37,6.249233333333334,,,,,,,
JVASP-14874,TiF3,0.0,-3.46542,104.18,61.51,23.098466666666667,,,,,,,
JVASP-53439,BaFe2S4,0.0,-1.01485,48.24,28.79,52.86533333333333,,,,,,,
JVASP-64189,Ba4MgBe,0.0,0.74193,10.7,0.42,222.9507,,,,,,,
JVASP-3258,Ho2SeO2,2.318,-3.3333,121.26,68.23,5.771999999999999,,,,,,,
JVASP-90229,MnAsPd,0.0,-0.13154,108.09,0.0,146.1831,,,,,,,
JVASP-12162,BaCaI4,3.154,-1.74197,13.12,7.01,4.0404,,,,,,,
JVASP-1840,LiDySe2,1.56,-1.78119,46.4,28.34,7.412566666666667,,,,,,,
JVASP-14615,Al,0.0,-0.0,69.93,16.76,85.815,,,,,,,
JVASP-15832,NiS2,0.0,0.00882,26.87,10.2,181.3804,NiS2,2.23,1.71,1.81,2.3,,2.0124999999999997
JVASP-50108,LuGaO3,2.754,-2.99117,59.57,18.86,4.126633333333333,,,,,,,
JVASP-19923,MnSe,0.0,-0.26969,50.2,9.6,242.32900000000004,MnSe,1.95,2.24,2.11,2.46,,2.19
JVASP-5065,CaMnSi,0.0,-0.35438,52.68,15.65,72.61586666666666,,,,,,,
JVASP-3099,TiTl2F6,3.589,-2.89474,37.11,13.77,3.6716333333333337,,,,,,,
JVASP-64987,BeTlP4,0.0,0.65821,16.1,2.22,51.15,,,,,,,
JVASP-64317,Ba4TiCd,0.0,0.79171,12.93,3.74,208.586,,,,,,,
JVASP-18887,HfTe2,0.0,-0.84264,28.59,21.19,29.260100000000005,,,,,,,
JVASP-4510,ScPS4,1.737,-1.0076,27.44,17.87,7.064733333333334,,,,,,,
JVASP-90534,Li4TiS4,2.358,-1.45115,29.5,15.66,5.3475,,,,,,,
JVASP-50936,KNdO2,3.702,-2.85299,80.33,48.58,3.8928,,,,,,,
JVASP-50811,KTmO2,4.204,-3.08561,96.81,62.95,3.6606,,,,,,,
JVASP-3177,MgBe2N2,4.406,-1.26102,191.9,175.82,4.5848,,,,,,,
JVASP-243,NiS2,0.0,-0.12356,32.47,14.8,57.761,NiS2,2.23,1.71,1.81,2.3,,2.0124999999999997
JVASP-18823,DyAl3,0.0,-0.31432,70.11,47.91,87.17946666666667,,,,,,,
JVASP-3117,NaPN2,4.866,-0.73127,139.41,95.69,4.060533333333333,,,,,,,
JVASP-65030,Be2CuIr,0.0,-0.21441,171.82,89.27,44.6795,,,,,,,
JVASP-36852,MnAgO2,0.0,-1.21128,126.03,32.66,75.6024,,,,,,,
JVASP-91567,SiHgP2,0.934,0.02326,75.43,42.16,14.663499999999999,,,,,,,
JVASP-64331,Ba4MgTe,0.0,0.03707,12.67,0.76,126.0331,,,,,,,
JVASP-48579,VOF3,2.962,-2.72413,23.67,25.08,4.6578,,,,,,,
JVASP-64873,Ba4LiSe,0.0,0.13891,10.8,0.0,104.4975,,,,,,,
JVASP-64680,BaLiCa,0.0,0.53975,6.33,0.0,62.8767,,,,,,,
JVASP-89269,EuSbO4,2.37,-2.55245,152.57,66.28,4.575833333333333,,,,,,,
JVASP-16084,Tc,0.0,0.07232,299.2,139.5,102.24793333333334,,,,,,,
JVASP-22559,MgVO3,0.0,-2.67984,117.37,35.52,5.691399999999999,,,,,,,
JVASP-64955,ZrBeCd,0.0,0.71499,66.33,0.0,153.078,,,,,,,
JVASP-65071,NaBeBr4,0.0,0.3482,17.23,0.0,101.3524,,,,,,,
JVASP-14833,Sr,0.0,0.00187,12.63,9.32,77.994,,,,,,,
JVASP-85370,AlPO4,3.257,-2.50004,264.47,197.98,3.4971666666666668,,,,,,,
JVASP-64993,Be2CoTe,0.0,0.48721,111.37,0.0,84.15413333333333,,,,,,,
JVASP-65108,MgBe2Cl,0.0,0.45182,34.84,11.15,64.25353333333334,,,,,,,
JVASP-64738,Ba4MgSc,0.0,0.53522,12.0,0.96,178.6493,,,,,,,
JVASP-22517,GaS,1.418,-0.70691,40.47,25.58,7.633766666666666,,,,,,,
JVASP-86104,Cd2RuC6N6,2.575,0.15309,62.71,21.69,4.330966666666666,,,,,,,
JVASP-14619,Fe,0.0,0.00854,201.37,25.42,219.09033333333332,,,,,,,
JVASP-85928,TiTlPS5,1.036,-0.78402,21.43,10.62,8.6177,,,,,,,
JVASP-18513,VSe,0.0,-0.51504,93.16,20.69,178.7257,VSe,,1.2,1.2,1.37,0.85,1.155
JVASP-64915,Be2TcSb,0.0,0.26939,144.62,47.33,74.49623333333334,,,,,,,
JVASP-64610,Ba4SrIr,0.0,0.76335,14.17,0.0,173.6137,,,,,,,
JVASP-14790,TiNi,0.0,-0.37856,162.3,28.56,92.9717,,,,,,,
JVASP-37034,TiFeCoSb,0.0,-0.26977,173.6,3.54,78.9918,,,,,,,
JVASP-22645,CdIn2Se4,0.689,-0.56058,32.66,17.27,9.319333333333333,,,,,,,
JVASP-37050,Ti2GaCo,0.0,-0.26576,140.0,27.12,156.8652,,,,,,,
JVASP-37036,Ti3In,0.0,-0.01939,106.7,25.2,174.1083,,,,,,,
JVASP-37190,MnGaFeCo,0.0,-0.10758,203.33,26.42,218.3883,,,,,,,
JVASP-41448,TmUTc2,0.0,-0.08195,147.4,0.0,149.5557,,,,,,,
JVASP-26,P,0.012,0.00024,41.01,30.49,20.9426,,,,,,,
JVASP-86900,HgC2Se2N2,2.007,0.43866,16.88,7.73,5.3920666666666675,,,,,,,
JVASP-29226,CdP2H4O4,4.548,-1.10265,26.47,10.26,3.0095666666666667,,,,,,,
JVASP-86323,Hf2Ni,0.0,-0.36386,138.08,21.67,198.71513333333334,,,,,,,
JVASP-91849,KCoO2,0.01,-1.27507,74.01,29.53,82.21783333333333,,,,,,,
JVASP-15734,TiSi,0.0,-0.69215,142.24,95.61,112.9858,,,,,,,
JVASP-37208,SiPdO3,0.0,-1.3133,238.9,50.88,173.4476,,,,,,,
JVASP-48167,Li2VO2F,0.0,-2.58339,142.7,91.76,44.732866666666666,,,,,,,
JVASP-38310,RbInO3,0.0,-1.03273,76.73,33.26,88.4517,,,,,,,
JVASP-86443,Cu3P2O8,0.003,-1.53855,86.26,48.09,37.64403333333333,,,,,,,
JVASP-49837,Al2O3,4.737,-3.20783,125.3,63.42,2.9418333333333337,,,,,,,
JVASP-91565,CaO,3.645,-3.2614,113.28,79.07,3.823233333333333,,,,,,,
JVASP-16139,NbP,0.0,-0.98159,185.84,111.01,99.4797,,,,,,,
JVASP-38201,Rb3Sn,0.0,-0.10893,9.07,4.84,33.6419,,,,,,,
JVASP-52342,LiCuF4,0.899,-1.99858,51.73,6.42,4.5489999999999995,,,,,,,
JVASP-38246,Rb3Ge,0.0,0.06053,8.64,4.41,45.151633333333336,,,,,,,
JVASP-48577,VOF3,2.05,-2.62339,23.24,9.93,5.3547,,,,,,,
JVASP-86206,H3AuC2NCl,3.442,-0.03986,14.37,7.3,3.9155333333333338,,,,,,,
JVASP-12124,ZnCu3H6Cl2O6,0.248,-0.91034,51.61,24.15,20.315,,,,,,,
JVASP-15113,UCr4C4,0.0,-0.23004,227.59,114.61,167.88723333333334,,,,,,,
JVASP-28637,Mo3WSe4S4,0.676,-0.75198,6.79,2.91,11.014133333333334,,,,,,,
JVASP-42301,LiMnPH2O5,1.913,-1.76398,32.11,0.27,16.0987,,,,,,,
JVASP-85272,C3N4,2.767,0.63388,396.5,386.34,5.2626,,,,,,,
JVASP-48311,Li4MnF7,0.0,-2.89974,58.6,15.72,3.6333,,,,,,,
JVASP-86155,TcBr3,0.0,-0.38202,19.12,8.83,26.261200000000002,,,,,,,
JVASP-16081,Zr,0.0,0.03519,91.4,33.54,51.45926666666666,,,,,,,
JVASP-89267,CuWO4,0.0,-1.80795,138.24,57.03,33.2415,,,,,,,
JVASP-38614,MgPbO3,0.0,-1.323,86.37,8.02,126.1907,,,,,,,
JVASP-64910,MgBe2Mo,0.0,0.36248,115.76,37.21,93.03966666666668,,,,,,,
JVASP-14998,Al2Au,0.0,-0.48294,105.47,41.26,101.2873,,,,,,,
JVASP-15432,Si2Ni6B,0.0,-0.41691,207.89,83.21,97.88893333333333,,,,,,,
JVASP-14915,Se,0.0,0.13368,70.6,17.58,228.8812,,,,,,,
JVASP-37046,Ti2InCo,0.0,-0.0605,127.17,18.34,121.8127,,,,,,,
JVASP-91891,Mg7Fe,0.0,0.13947,42.3,25.58,191.4085,,,,,,,
JVASP-14958,SeS,0.0,0.28984,76.67,14.2,258.75803333333334,,,,,,,
JVASP-589,TaSe2,0.0,-0.8047,45.67,33.18,43.59713333333334,,,,,,,
JVASP-3753,VClO,0.0,-1.91675,22.5,0.92,64.62166666666667,,,,,,,
JVASP-91750,RbFeS2,0.0,-0.88458,29.67,14.38,33.35026666666667,,,,,,,
JVASP-91993,PaNi3,0.0,-0.46071,166.3,50.34,47.28576666666667,,,,,,,
JVASP-64878,ZrBe2Cr,0.0,0.30164,113.14,30.29,121.24919999999999,,,,,,,
JVASP-3657,Rb2PtCl6,1.716,-1.32195,19.13,10.64,4.3676,,,,,,,
JVASP-91944,CaZn3Se4,1.372,-0.93468,50.43,11.9,6.9156,,,,,,,
JVASP-91852,ZrUN2,0.0,-1.74222,232.13,127.8,164.46913333333336,,,,,,,
JVASP-53082,TlNO2,1.358,-0.45428,25.86,9.93,4.8397,,,,,,,
JVASP-64144,Ba4CdHg,0.0,0.3206,10.8,0.48,205.75660000000002,,,,,,,
JVASP-18656,TiCd,0.0,-0.06099,85.18,36.99,95.3984,,,,,,,
JVASP-64334,BaCaBr,0.0,-0.27647,9.37,0.0,37.5169,,,,,,,
JVASP-64739,Ba4LiNb,0.0,0.9401,11.4,2.16,180.6127,,,,,,,
JVASP-65109,BeInSn,0.0,0.4269,42.24,9.75,174.69383333333334,,,,,,,
JVASP-43066,CoSbO4,0.0,-1.22434,157.52,76.21,21.9108,,,,,,,
JVASP-12049,YBrO,3.647,-3.12782,47.47,25.46,4.236233333333334,,,,,,,
JVASP-90860,FeH3,0.0,0.46128,190.9,2.94,155.8409,,,,,,,
JVASP-90718,FeCu2GeSe4,0.0,-0.21206,60.16,22.71,121.15249999999999,,,,,,,
JVASP-42666,Li3SbS4,2.297,-0.81948,10.2,7.02,4.2468,,,,,,,
JVASP-1759,N,2.34,5.28308,0.0,0.0,95.5425,,,,,,,
JVASP-28356,PbS,0.578,-0.57617,36.81,20.59,12.9413,,,,,,,
JVASP-43637,Na2O,2.028,-1.34086,52.39,31.51,3.2011333333333334,,,,,,,
JVASP-1222,UO2,0.0,-3.55173,193.63,100.34,117.61666666666666,,,,,,,
JVASP-64391,Ba4MoSe,0.0,0.76335,15.8,0.24,129.7215,,,,,,,
JVASP-37028,TiInFe2,0.0,-0.07574,170.63,74.12,105.6924,,,,,,,
JVASP-64205,Ba4CaNb,0.0,0.84294,12.77,0.0,191.1652,,,,,,,
JVASP-90773,ZrSn,0.0,-0.24254,86.38,42.49,151.21153333333334,,,,,,,
JVASP-86784,Ag2Se,0.074,-0.06499,63.44,14.85,19.8395,,,,,,,
JVASP-65074,BeVSe,0.0,-0.05497,131.03,121.24,36.25666666666667,,,,,,,
JVASP-4603,MnPS3,0.179,-0.39732,30.87,20.52,33.58886666666667,,,,,,,
JVASP-14834,Pr,0.0,0.0057,33.27,16.72,87.65246666666667,,,,,,,
JVASP-22621,Rb2CoF6,0.0,-2.42709,24.0,10.2,5.8477,,,,,,,
JVASP-88017,LiMnP,0.0,-0.52274,84.82,41.89,55.73333333333334,,,,,,,
JVASP-64392,KBaV,0.0,1.24171,9.03,0.0,115.12669999999999,,,,,,,
JVASP-16085,Ru,0.0,0.11098,308.17,194.8,110.72499999999998,,,,,,,
JVASP-64995,ScBe2Cu,0.0,-0.04572,103.13,22.46,45.25053333333333,,,,,,,
JVASP-91798,SmMnSi2,0.0,-0.57139,114.57,71.72,113.91680000000001,,,,,,,
JVASP-85283,ICl,1.323,-0.1,9.91,4.05,6.6444,,,,,,,
JVASP-85669,H3N,4.515,-0.28519,12.07,6.48,2.4626333333333332,,,,,,,
JVASP-87109,K3CO3F,4.33,-2.16085,36.28,17.25,2.459,,,,,,,
JVASP-91526,MnTe,0.0,0.05856,46.0,31.24,281.26753333333335,,,,,,,
JVASP-22560,K2PdO2,1.464,-1.24162,66.31,32.23,4.877400000000001,,,,,,,
JVASP-65075,LiBe2Cl,0.0,0.48398,45.89,14.13,54.92016666666666,,,,,,,
JVASP-1396,YZn,0.0,-0.41173,63.23,33.8,76.4044,,,,,,,
JVASP-85717,LuNbO4,3.451,-3.36119,162.53,70.66,5.483666666666667,,,,,,,
JVASP-87220,K4CO4,3.211,-1.41941,28.44,7.93,2.962,,,,,,,
JVASP-64880,MnBeCo4,0.0,0.35252,178.13,52.94,385.7286,,,,,,,
JVASP-64550,Ba4CaPt,0.0,0.48595,13.03,0.0,180.9049,,,,,,,
JVASP-49953,CaHfO3,4.568,-3.67873,167.26,98.79,4.3812999999999995,,,,,,,
JVASP-90816,SrAs3,0.0,-0.65546,43.28,27.13,24.194066666666668,,,,,,,
JVASP-75,WSe2,1.046,-0.54463,59.89,43.19,13.927533333333335,WSe2,,1.06,0.97,1.01,0.81,0.9625
JVASP-86506,CeAlO3,0.0,-3.48826,206.63,134.18,25.455699999999997,,,,,,,
JVASP-86682,CeP2,0.0,-1.07707,76.34,50.01,103.00813333333333,,,,,,,
JVASP-64465,Ba4HfBr,0.0,0.51678,12.5,2.16,169.5001,,,,,,,
JVASP-42811,Li4CoO2F2,0.163,-2.19315,62.47,33.16,24.269333333333332,,,,,,,
JVASP-64393,BaNaIn,0.0,0.16113,12.0,0.0,72.3793,,,,,,,
JVASP-15346,TbSi2Pd2,0.0,-0.88518,134.22,53.25,67.62253333333332,,,,,,,
JVASP-64063,BaSrTi,0.0,1.19689,9.53,0.0,110.5657,,,,,,,
JVASP-64750,Ba4ZrSc,0.0,0.87642,15.8,7.08,220.7938,,,,,,,
JVASP-14620,Ga,0.0,0.04287,45.19,6.45,45.210800000000006,,,,,,,
JVASP-18826,MnAlFe2,0.0,-0.19524,207.53,74.96,146.05156666666667,,,,,,,
JVASP-12019,CoO2,0.0,-0.92667,79.16,51.43,40.65763333333334,,,,,,,
JVASP-65076,BeCuBr,0.0,0.11994,39.44,17.65,49.33083333333334,,,,,,,
JVASP-48933,WOF4,4.343,-2.74866,29.32,21.43,3.5273000000000003,,,,,,,
JVASP-22649,Rb2SnBr6,0.983,-1.27064,16.67,8.92,4.2258,,,,,,,
JVASP-1291,YbO,3.581,-3.61377,139.4,98.94,3.951233333333333,,,,,,,
JVASP-64150,Ba4LiBe,0.0,0.76939,8.67,0.0,180.8605,,,,,,,
JVASP-64918,BeFe4Ge,0.0,0.26781,138.67,47.86,284.4619,,,,,,,
JVASP-14699,MnTe,0.0,0.01227,43.72,22.15,160.41273333333334,,,,,,,
JVASP-28357,VS2,0.0,-0.95914,61.77,35.32,32.517266666666664,,,,,,,
JVASP-2026,NiBr2,0.451,-0.37275,26.6,9.28,60.7442,,,,,,,
JVASP-64816,Ba4YTi,0.0,0.87961,14.5,4.8,204.1009,,,,,,,
JVASP-64208,Ba4CdBi,0.0,0.08362,14.9,2.52,130.2513,,,,,,,
JVASP-64689,Ba4NaTa,0.0,1.02946,11.73,2.42,173.48619999999997,,,,,,,
JVASP-15183,TbCo2Si2,0.0,-0.78936,145.38,90.25,93.69293333333333,,,,,,,
JVASP-64466,KBaMo,0.0,1.68551,6.87,0.0,118.4273,,,,,,,
JVASP-85372,CeSiHRu,0.0,-0.71764,103.59,68.09,72.55059999999999,,,,,,,
JVASP-87050,Ba2ZrO4,3.212,-3.34975,114.19,61.11,4.573766666666667,,,,,,,
JVASP-91704,PuFeC2,0.0,-0.25582,191.97,101.82,203.45453333333333,,,,,,,
JVASP-91945,Zn3CrTe4,0.0,-0.2553,44.37,13.9,60.0318,,,,,,,
JVASP-65035,NaMn4Be,0.0,0.65863,154.1,35.58,206.4959,,,,,,,
JVASP-64622,Ba4NbCu,0.0,1.12213,14.43,2.48,192.4389,,,,,,,
JVASP-89906,UGaRu,0.0,-0.35761,146.94,33.55,197.46103333333335,,,,,,,
JVASP-64397,KBaHf,0.0,1.50395,4.43,0.0,97.5115,,,,,,,
JVASP-64559,Ba4ZrSb,0.0,0.48344,19.37,0.0,200.81360000000004,,,,,,,
JVASP-23437,HgSb2O6,0.486,-1.20483,124.76,38.09,5.342099999999999,,,,,,,
JVASP-1248,BeTe,2.202,-0.42305,58.67,42.22,7.4722,,,,,,,
